
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
DC:00:B0:84:B0:BA, 2022-08-14 23:09:12, 2022-08-14 23:09:12,  6, 260, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,  14, Freebox-18AD7A, 
6A:61:F4:0F:03:5D, 2022-08-14 23:09:09, 2022-08-14 23:09:09,  1, 130, WPA2, CCMP, MGT, -85,        1,        0,   0.  0.  0.  0,  15, SFR WiFi Mobile, 
14:0C:76:A2:9D:EC, 2022-08-14 23:09:09, 2022-08-14 23:09:09,  1, 195, WPA2, CCMP TKIP, MGT, -86,        1,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
14:0C:76:8A:DA:90, 2022-08-14 23:09:12, 2022-08-14 23:09:12,  6, 195, WPA2, CCMP TKIP, MGT, -87,        1,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
70:FC:8F:3D:23:3F, 2022-08-14 23:09:12, 2022-08-14 23:09:12, 11, 195, WPA2, CCMP TKIP, MGT, -87,        1,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
00:07:CB:08:37:16, 2022-08-14 23:09:09, 2022-08-14 23:09:09,  1, 195, WPA2, CCMP TKIP, MGT, -87,        2,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
68:A3:78:09:55:FC, 2022-08-14 23:09:12, 2022-08-14 23:09:12, 11, 195, WPA2 WPA, CCMP TKIP, PSK, -88,        2,        0,   0.  0.  0.  0,  12, freebox_T54G, 
F4:CA:E5:EA:C9:B4, 2022-08-14 23:09:11, 2022-08-14 23:09:12, 11, 195, WPA2 WPA, CCMP TKIP, PSK, -88,        2,        0,   0.  0.  0.  0,  13, freebox_guest, 
6C:61:F4:0F:03:5E, 2022-08-14 23:09:09, 2022-08-14 23:09:09,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -88,        1,        0,   0.  0.  0.  0,   8, SFR_0358, 
24:7F:20:A4:EC:16, 2022-08-14 23:09:09, 2022-08-14 23:09:09,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -88,        1,        0,   0.  0.  0.  0,   8, SFR-ec10, 
14:0C:76:A2:9D:EA, 2022-08-14 23:09:09, 2022-08-14 23:09:09,  1, 195, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,  14, freebox_KDIWUS, 
40:C7:29:52:9A:80, 2022-08-14 23:09:09, 2022-08-14 23:09:09,  1,  -1, WPA, ,   , -88,        0,        1,   0.  0.  0.  0,   0, , 
00:37:B7:06:70:7E, 2022-08-14 23:09:12, 2022-08-14 23:09:12,  6, 195, WPA2 WPA, CCMP TKIP, PSK, -89,        1,        0,   0.  0.  0.  0,   8, SFR-7078, 
F0:92:1C:D3:2B:ED, 2022-08-14 23:09:11, 2022-08-14 23:09:11, 11,  54, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,  28, HP-Print-ED-ENVY 4500 series, 
94:BF:C4:00:D8:98, 2022-08-14 23:09:09, 2022-08-14 23:09:09, 13, 130, WPA2, CCMP, PSK, -89,        2,        0,   0.  0.  0.  0,   6, ASTIER, 
44:D4:54:7B:63:40, 2022-08-14 23:09:09, 2022-08-14 23:09:09,  1,  -1, WPA, ,   , -89,        0,        2,   0.  0.  0.  0,   0, , 
8C:97:EA:E3:87:08, 2022-08-14 23:09:12, 2022-08-14 23:09:12, 11, 130, WPA2, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,  14, Freebox-332F14, 
30:24:78:2D:57:80, 2022-08-14 23:09:12, 2022-08-14 23:09:12,  6, 130, WPA2 WPA, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,  13, Bbox-4EB47ACB, 
00:1B:93:01:32:F2, 2022-08-14 23:09:10, 2022-08-14 23:09:10,  8,  54, WPA, TKIP, PSK, -93,        1,        0,   0.  0.  0.  0,  10, ZCGA_13042, 
68:A3:78:0C:02:FC, 2022-08-14 23:09:10, 2022-08-14 23:09:10,  8, 195, WPA2, CCMP, PSK, -93,        1,        0,   0.  0.  0.  0,  19, FREEBOX_ANTONIOS_I1, 
DE:00:B0:A0:43:79, 2022-08-14 23:09:12, 2022-08-14 23:09:12,  6, 130, WPA3 WPA2, CCMP, SAE, -94,        1,        0,   0.  0.  0.  0,   0, , 
B8:D9:4D:F7:4F:47, 2022-08-14 23:09:12, 2022-08-14 23:09:13, 36, 1170, WPA2 WPA, CCMP TKIP, PSK, -95,        2,        0,   0.  0.  0.  0,  13, SFR-4f40_5GHz, 
E8:D2:FF:4C:CC:91, 2022-08-14 23:09:14, 2022-08-14 23:09:30, 52, 1733, WPA2, CCMP, PSK, -95,        7,        0,   0.  0.  0.  0,  11, Lesours5ghz, 
B6:FB:E4:A7:04:E3, 2022-08-14 23:09:12, 2022-08-14 23:09:28, 36, 720, WPA2, CCMP, PSK, -94,        9,        0,   0.  0.  0.  0,   0, , 
B4:FB:E4:86:51:13, 2022-08-14 23:09:14, 2022-08-14 23:09:30, 48, 720, WPA3 WPA2, CCMP, SAE PSK, -94,        6,        0,   0.  0.  0.  0,   7, FooBar2, 
B6:FB:E4:96:51:13, 2022-08-14 23:09:14, 2022-08-14 23:09:30, 48, 720, WPA3 WPA2, CCMP, SAE PSK, -94,        9,        0,   0.  0.  0.  0,  12, GANDI_GUEST2, 
B6:FB:E4:A6:51:13, 2022-08-14 23:09:14, 2022-08-14 23:09:30, 48, 720, WPA2, CCMP, PSK, -93,       10,        0,   0.  0.  0.  0,   0, , 
B4:FB:E4:87:04:E3, 2022-08-14 23:09:12, 2022-08-14 23:09:28, 36, 720, WPA3 WPA2, CCMP, SAE PSK, -93,        7,        1,   0.  0.  0.  0,   7, FooBar2, 
94:BF:C4:40:D9:8C, 2022-08-14 23:09:17, 2022-08-14 23:09:33, 108, 780, OPN, ,   , -94,        6,        0,   0.  0.  0.  0,  14, ASTIER - GUEST, 
14:0C:76:55:09:76, 2022-08-14 23:09:09, 2022-08-14 23:09:24,  1, 195, WPA2, CCMP TKIP, MGT, -93,        2,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
B6:FB:E4:97:04:E3, 2022-08-14 23:09:12, 2022-08-14 23:09:28, 36, 720, WPA3 WPA2, CCMP, SAE PSK, -93,        6,        0,   0.  0.  0.  0,  12, GANDI_GUEST2, 
